Netid State     Recv-Q Send-Q             Local Address:Port     Peer Address:Port Process                                   
udp   ESTAB     0      0      192.168.88.247%enp1s0f4u2:68       192.168.88.1:67    users:(("NetworkManager",pid=518,fd=23)) 
udp   UNCONN    0      0                    224.0.0.251:5353          0.0.0.0:*     users:(("chrome",pid=1371,fd=249))       
udp   UNCONN    0      0                    224.0.0.251:5353          0.0.0.0:*     users:(("chrome",pid=1415,fd=49))        
tcp   LISTEN    0      999                    127.0.0.1:31416         0.0.0.0:*     users:(("boinc",pid=4029,fd=7))          
tcp   ESTAB     0      0                 192.168.88.247:33126 142.250.201.206:443   users:(("chrome",pid=1415,fd=88))        
tcp   ESTAB     0      0                 192.168.88.247:45034   37.19.218.167:89    users:(("chrome",pid=1415,fd=89))        
tcp   ESTAB     0      0                 192.168.88.247:45834   37.19.218.167:89    users:(("chrome",pid=1415,fd=128))       
tcp   TIME-WAIT 0      0                 192.168.88.247:52894   142.251.39.74:443                                            
tcp   ESTAB     0      0                 192.168.88.247:45862   37.19.218.167:89    users:(("chrome",pid=1415,fd=142))       
tcp   ESTAB     0      0                 192.168.88.247:43446  149.154.167.51:443   users:(("telegram-deskto",pid=823,fd=40))
tcp   ESTAB     0      0                 192.168.88.247:45868   37.19.218.167:89    users:(("chrome",pid=1415,fd=120))       
tcp   ESTAB     0      0                 192.168.88.247:41272 142.250.180.195:443   users:(("chrome",pid=1415,fd=25))        
tcp   ESTAB     0      0                 192.168.88.247:45878   37.19.218.167:89    users:(("chrome",pid=1415,fd=97))        
tcp   ESTAB     0      0                 192.168.88.247:45886   37.19.218.167:89    users:(("chrome",pid=1415,fd=118))       
tcp   ESTAB     0      0                      127.0.0.1:31416       127.0.0.1:34924 users:(("boinc",pid=4029,fd=11))         
tcp   ESTAB     0      0                 192.168.88.247:45888   37.19.218.167:89    users:(("chrome",pid=1415,fd=123))       
tcp   ESTAB     0      0                 192.168.88.247:45894   37.19.218.167:89    users:(("chrome",pid=1415,fd=71))        
tcp   ESTAB     0      0                 192.168.88.247:45872   37.19.218.167:89    users:(("chrome",pid=1415,fd=56))        
tcp   ESTAB     0      0                 192.168.88.247:45884   37.19.218.167:89    users:(("chrome",pid=1415,fd=106))       
tcp   TIME-WAIT 0      0                 192.168.88.247:54988 149.154.167.151:443                                            
tcp   ESTAB     0      0                 192.168.88.247:45892   37.19.218.167:89    users:(("chrome",pid=1415,fd=133))       
tcp   ESTAB     0      0                 192.168.88.247:45218   37.19.218.167:89    users:(("chrome",pid=1415,fd=43))        
tcp   ESTAB     0      0                      127.0.0.1:34924       127.0.0.1:31416 users:(("boinctui",pid=4476,fd=6))       
tcp   ESTAB     0      0                 192.168.88.247:45882   37.19.218.167:89    users:(("chrome",pid=1415,fd=85))        
tcp   ESTAB     0      0                 192.168.88.247:45286   37.19.218.167:89    users:(("chrome",pid=1415,fd=70))        
tcp   ESTAB     0      0                 192.168.88.247:45880   37.19.218.167:89    users:(("chrome",pid=1415,fd=35))        
tcp   ESTAB     0      0                 192.168.88.247:43456  149.154.167.51:443   users:(("telegram-deskto",pid=823,fd=61))
tcp   ESTAB     0      0                 192.168.88.247:45890   37.19.218.167:89    users:(("chrome",pid=1415,fd=131))       
tcp   ESTAB     0      0                 192.168.88.247:35690    169.47.63.74:443   users:(("boinc",pid=4029,fd=9))          
